date,scientist,rep,primary,secondary,secondary_dose,vial,day,status,alive3,0 hour,10 hour,log10_10hour
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,6,1,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,1,1,FALSE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,1,1,FALSE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,1,1,FALSE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,1,1,FALSE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,1,1,FALSE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,7,0,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,7,0,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,7,0,TRUE,,,0
6/18/2018,Frank,1,E.fae,P.rett,0.5,20,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.01,4,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.01,4,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.01,4,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,5,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,8,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.05,9,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,11,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,4,1,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,4,1,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.1,12,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,1,1,FALSE,,,0
